strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,num_trades,years,final_equity
SMA100_200_RSI40_UPRO100_SHY_delay0_cautionTrue_vix35,100,200,40,100,0,SHY,0,True,35.0,377167.01,72.81,-60.18,1.3678,1.2099,226,15.1,377267007.51
SMA50_200_RSI45_UPRO100_TLT_delay0_cautionTrue_vixNone,50,200,45,100,0,TLT,0,True,,395838.17,73.36,-71.45,1.3665,1.0267,290,15.1,395938173.58
SMA100_200_RSI40_UPRO100_cash_delay0_cautionTrue_vix35,100,200,40,100,0,cash,0,True,35.0,360503.0,72.29,-60.07,1.3613,1.2035,226,15.1,360603000.59
SMA50_200_RSI45_UPRO100_SHY_delay2_cautionTrue_vixNone,50,200,45,100,0,SHY,2,True,,281405.94,69.48,-63.26,1.324,1.0983,289,15.1,281505939.91
SMA50_200_RSI45_UPRO100_cash_delay2_cautionTrue_vixNone,50,200,45,100,0,cash,2,True,,268847.77,68.97,-62.27,1.3171,1.1075,289,15.1,268947766.88
SMA50_200_RSI40_UPRO100_TLT_delay0_cautionTrue_vix35,50,200,40,100,0,TLT,0,True,35.0,257205.99,68.47,-70.01,1.3162,0.9781,205,15.1,257305990.55
SMA50_200_RSI45_UPRO100_SHY_delay0_cautionTrue_vixNone,50,200,45,100,0,SHY,0,True,,259335.44,68.56,-64.07,1.3111,1.0702,290,15.1,259435438.24
SMA50_200_RSI40_UPRO100_TLT_delay2_cautionTrue_vix35,50,200,40,100,0,TLT,2,True,35.0,239551.26,67.68,-69.2,1.3059,0.978,204,15.1,239651263.6
SMA50_200_RSI45_UPRO100_cash_delay0_cautionTrue_vixNone,50,200,45,100,0,cash,0,True,,246116.81,67.98,-63.1,1.3033,1.0774,290,15.1,246216810.84
SMA50_200_RSI40_UPRO100_SHY_delay0_cautionTrue_vix35,50,200,40,100,0,SHY,0,True,35.0,192154.93,65.24,-64.02,1.2865,1.0191,205,15.1,192254927.07
SMA50_200_RSI40_UPRO100_SHY_delay2_cautionTrue_vix35,50,200,40,100,0,SHY,2,True,35.0,186436.67,64.91,-63.21,1.2819,1.0268,204,15.1,186536665.57
SMA50_200_RSI40_UPRO100_cash_delay0_cautionTrue_vix35,50,200,40,100,0,cash,0,True,35.0,184131.31,64.77,-63.05,1.2803,1.0273,205,15.1,184231312.13
SMA50_200_RSI40_UPRO100_cash_delay2_cautionTrue_vix35,50,200,40,100,0,cash,2,True,35.0,179777.5,64.51,-62.23,1.2766,1.0367,204,15.1,179877498.69
SMA100_200_RSI40_UPRO100_TLT_delay2_cautionTrue_vixNone,100,200,40,100,0,TLT,2,True,,226624.88,67.06,-67.1,1.2431,0.9995,200,15.1,226724877.39
SMA100_200_RSI40_UPRO100_TLT_delay0_cautionTrue_vixNone,100,200,40,100,0,TLT,0,True,,189503.64,65.09,-65.58,1.2205,0.9926,200,15.1,189603636.96
SMA100_200_RSI40_UPRO100_SHY_delay2_cautionTrue_vixNone,100,200,40,100,0,SHY,2,True,,156111.67,62.98,-60.39,1.1969,1.0428,200,15.1,156211668.46
SMA100_200_RSI40_UPRO100_cash_delay2_cautionTrue_vixNone,100,200,40,100,0,cash,2,True,,149838.16,62.54,-60.26,1.1912,1.0377,200,15.1,149938163.15
SMA100_200_RSI35_UPRO100_TLT_delay2_cautionTrue_vix35,100,200,35,100,0,TLT,2,True,35.0,126800.19,60.74,-68.61,1.1836,0.8854,129,15.1,126900186.74
SMA100_200_RSI40_UPRO100_SHY_delay0_cautionTrue_vixNone,100,200,40,100,0,SHY,0,True,,135511.68,61.45,-60.39,1.179,1.0176,200,15.1,135611676.46
SMA100_200_RSI40_UPRO100_cash_delay0_cautionTrue_vixNone,100,200,40,100,0,cash,0,True,,130914.16,61.09,-60.26,1.1741,1.0137,200,15.1,131014162.98
SMA100_200_RSI35_UPRO100_TLT_delay0_cautionTrue_vix35,100,200,35,100,0,TLT,0,True,35.0,108303.04,59.07,-67.15,1.1629,0.8796,130,15.1,108403039.38
SMA100_200_RSI35_UPRO100_SHY_delay2_cautionTrue_vix35,100,200,35,100,0,SHY,2,True,35.0,97437.98,57.96,-62.19,1.1568,0.932,129,15.1,97537981.93
SMA100_200_RSI35_UPRO100_cash_delay2_cautionTrue_vix35,100,200,35,100,0,cash,2,True,35.0,93657.79,57.54,-62.15,1.1514,0.9259,129,15.1,93757790.25
SMA100_200_RSI50_UPRO75_TLT_delay2_cautionTrue_vix35,100,200,50,75,25,TLT,2,True,35.0,9867555.03,114.65,-48.22,1.1508,2.3776,399,15.1,9867655028.06
SMA50_200_RSI40_UPRO100_TLT_delay0_cautionTrue_vixNone,50,200,40,100,0,TLT,0,True,,98061.57,58.03,-71.34,1.1455,0.8133,193,15.1,98161574.73
SMA100_200_RSI50_UPRO75_TLT_delay0_cautionTrue_vix35,100,200,50,75,25,TLT,0,True,35.0,8664106.86,112.8,-47.22,1.14,2.3887,399,15.1,8664206862.24
SMA100_200_RSI35_UPRO100_SHY_delay0_cautionTrue_vix35,100,200,35,100,0,SHY,0,True,35.0,85487.91,56.59,-62.19,1.1394,0.9101,130,15.1,85587914.54
SMA50_200_RSI40_UPRO100_TLT_delay2_cautionTrue_vixNone,50,200,40,100,0,TLT,2,True,,91214.12,57.27,-70.57,1.1355,0.8115,192,15.1,91314119.04
SMA100_200_RSI35_UPRO100_cash_delay0_cautionTrue_vix35,100,200,35,100,0,cash,0,True,35.0,82748.55,56.26,-62.15,1.135,0.9052,130,15.1,82848550.41
SMA50_200_RSI40_UPRO100_SHY_delay0_cautionTrue_vixNone,50,200,40,100,0,SHY,0,True,,74709.73,55.2,-65.81,1.1124,0.8387,193,15.1,74809733.03
