strategy,etf,ifa_score,sharpe,total_return_pct,cagr_pct,max_drawdown_pct,calmar,sortino,win_rate,total_trades,profit_factor,avg_trade_pct,avg_win,avg_loss,avg_bars_held,passes_gates
SMA_20_50,SHY,0.037,-0.699,-5.02,-0.89,6.24,-0.143,-0.599,11.8,17,0.2,-0.3,627.2,-418.35,32.6,False
SMA100_RSI_35_65,SHY,0.0369,-0.097,-0.27,-0.05,1.36,-0.035,-0.039,50.0,2,0.53,-0.14,310.43,-585.27,101.5,False
EMA_5_13_ADX25,SOXL,0.0368,0.139,-91.92,-34.99,99.31,-0.352,0.146,37.5,8,0.46,-11.49,26395.01,-34222.75,144.2,False
Bollinger_20_2,SHY,0.0365,-0.734,-5.94,-1.04,8.18,-0.127,-0.607,18.8,16,0.3,-0.37,842.95,-651.48,35.7,False
SMA200_RSI_45_65,TQQQ,0.0364,-0.246,-69.36,-18.56,81.99,-0.226,-0.097,41.7,12,0.54,-5.78,15973.82,-21318.78,24.2,False
RSI_MeanRev_30_70,SPY,0.0363,0.005,-2.43,-0.42,20.57,-0.02,0.003,36.4,11,0.92,-0.22,6740.53,-4199.22,9.2,False
RSI_Bounce_30_60_ATR2.0,SPY,0.0363,0.005,-2.43,-0.42,20.57,-0.02,0.003,36.4,11,0.92,-0.22,6740.53,-4199.22,9.2,False
RSI_Bounce_30_65_ATR2.0,SPY,0.0363,0.005,-2.43,-0.42,20.57,-0.02,0.003,36.4,11,0.92,-0.22,6740.53,-4199.22,9.2,False
RSI_Bounce_30_70_ATR2.0,SPY,0.0363,0.005,-2.43,-0.42,20.57,-0.02,0.003,36.4,11,0.92,-0.22,6740.53,-4199.22,9.2,False
SMA_20_50,TLT,0.0352,-0.114,-7.31,-1.31,16.66,-0.079,-0.11,30.8,13,0.61,-0.56,2889.41,-2096.76,41.8,False
RSI_Bounce_30_55_ATR2.0,SPY,0.0343,-0.049,-5.27,-0.91,20.57,-0.044,-0.025,36.4,11,0.82,-0.48,5913.39,-4132.06,8.8,False
EMA_20_50_ADX20,SHY,0.034,-0.577,-6.1,-1.07,7.76,-0.138,-0.67,50.0,4,0.07,-1.52,240.79,-3360.24,263.2,False
EMA_20_50_ADX25,SHY,0.034,-0.577,-6.1,-1.07,7.76,-0.138,-0.67,50.0,4,0.07,-1.52,240.79,-3360.24,263.2,False
RSI_Bounce_25_55_ATR2.5,TQQQ,0.0334,0.103,-6.07,-1.06,59.47,-0.018,0.054,40.0,5,0.87,-1.21,21042.05,-16095.35,24.4,False
SMA100_RSI_45_65,TQQQ,0.0332,-0.132,-47.64,-10.62,62.99,-0.169,-0.052,25.0,12,0.61,-3.97,25215.5,-13698.93,18.3,False
EMA_5_13_ADX20,TLT,0.0325,-0.483,-30.95,-6.14,36.18,-0.17,-0.611,28.6,14,0.3,-2.21,3354.11,-4436.88,64.3,False
RSI_MeanRev_20_80,TQQQ,0.0324,-0.418,-30.38,-5.95,40.72,-0.146,-0.112,50.0,2,0.23,-15.19,9138.28,-39619.7,27.0,False
RSI_Bounce_30_55_ATR2.5,SPY,0.0322,-0.04,-5.68,-0.99,23.1,-0.043,-0.021,40.0,10,0.81,-0.57,6022.89,-4961.36,13.2,False
SMA100_RSI_45_70,TQQQ,0.0318,-0.086,-44.24,-9.64,66.74,-0.144,-0.038,18.2,11,0.65,-4.02,41882.03,-14222.66,24.6,False
SMA200_RSI_45_70,TQQQ,0.0315,-0.136,-61.66,-15.33,79.26,-0.193,-0.059,36.4,11,0.63,-5.61,26568.31,-23990.63,32.4,False
EMA_12_26_ADX20,SHY,0.0315,-0.885,-7.96,-1.41,9.16,-0.154,-0.924,13.3,15,0.1,-0.53,453.82,-682.21,62.4,False
SMA50_RSI_45_75,TQQQ,0.0309,0.054,-1.47,-0.26,19.06,-0.013,0.02,33.3,6,0.9,-0.24,6908.62,-3822.05,15.5,False
RSI_MeanRev_25_75,UPRO,0.0295,0.044,-21.05,-3.93,54.95,-0.071,0.02,28.6,7,0.74,-3.01,30585.99,-16445.31,17.7,False
RSI_Bounce_25_65_ATR2.0,UPRO,0.0295,0.044,-21.05,-3.93,54.95,-0.071,0.02,28.6,7,0.74,-3.01,30585.99,-16445.31,17.7,False
RSI_Bounce_25_70_ATR2.0,UPRO,0.0295,0.044,-21.05,-3.93,54.95,-0.071,0.02,28.6,7,0.74,-3.01,30585.99,-16445.31,17.7,False
SMA200_RSI_35_75,SHY,0.0294,-0.467,-2.72,-0.48,4.09,-0.117,-0.347,50.0,2,0.03,-1.36,102.69,-2962.3,328.0,False
SMA100_RSI_35_75,SHY,0.0294,-0.495,-3.02,-0.53,4.87,-0.109,-0.398,50.0,2,0.03,-1.51,102.32,-3261.16,384.5,False
EMA_9_21_ADX15,TLT,0.0291,-0.981,-48.0,-10.59,48.0,-0.221,-1.147,21.4,14,0.07,-3.43,1275.49,-4711.51,51.4,False
RSI_Bounce_25_70_ATR2.5,UPRO,0.0281,0.039,-30.97,-6.09,62.1,-0.098,0.02,28.6,7,0.68,-4.42,32602.93,-19234.27,26.9,False
RSI_Bounce_25_55_ATR2.5,UPRO,0.0278,0.044,-26.59,-5.1,62.1,-0.082,0.019,28.6,7,0.63,-3.8,22539.22,-14333.63,17.6,False
SMA100_RSI_45_75,TQQQ,0.0277,-0.172,-63.4,-16.01,75.63,-0.212,-0.074,9.1,11,0.38,-5.76,38658.36,-10205.49,27.8,False
RSI_Bounce_25_60_ATR2.0,UPRO,0.0272,0.025,-23.86,-4.52,54.95,-0.082,0.011,28.6,7,0.71,-3.41,28514.32,-16178.17,17.1,False
EMA_9_21_ADX25,SHY,0.0272,-0.647,-5.84,-1.02,8.47,-0.121,-0.708,16.7,12,0.21,-0.49,799.68,-757.06,81.0,False
SMA200_RSI_40_70,TQQQ,0.0262,-0.288,-67.81,-17.86,81.05,-0.22,-0.078,33.3,9,0.55,-7.53,27780.93,-25192.88,18.6,False
RSI_Bounce_25_65_ATR1.5,UPRO,0.0254,-0.039,-30.25,-5.92,48.84,-0.121,-0.021,25.0,8,0.63,-3.78,25365.08,-13495.99,16.4,False
RSI_Bounce_25_70_ATR1.5,UPRO,0.0254,-0.039,-30.25,-5.92,48.84,-0.121,-0.021,25.0,8,0.63,-3.78,25365.08,-13495.99,16.4,False
EMA_20_50_ADX20,SPY,0.0253,0.015,-1.56,-0.27,25.94,-0.01,0.011,40.0,5,0.92,-0.31,8936.37,-6477.72,98.8,False
SMA200_RSI_45_75,TQQQ,0.0247,-0.27,-78.86,-23.64,86.8,-0.272,-0.12,30.0,10,0.31,-7.89,12001.99,-16408.86,39.9,False
SMA200_RSI_40_65,TQQQ,0.0246,-0.398,-74.01,-20.85,83.37,-0.25,-0.102,33.3,9,0.44,-8.22,19481.27,-22075.58,15.7,False
SMA100_RSI_40_65,UPRO,0.0245,-0.209,-42.69,-9.21,63.45,-0.145,-0.059,30.0,10,0.3,-4.27,6204.94,-8758.4,15.2,False
RSI_Bounce_25_55_ATR2.0,UPRO,0.0233,-0.026,-29.51,-5.75,54.95,-0.105,-0.011,28.6,7,0.62,-4.22,24355.37,-15643.25,14.4,False
RSI_Bounce_25_65_ATR2.5,UPRO,0.0229,-0.005,-37.42,-7.64,62.1,-0.123,-0.003,28.6,7,0.59,-5.35,27379.4,-18436.46,26.4,False
SMA100_RSI_40_75,UPRO,0.0229,-0.175,-40.58,-8.64,63.45,-0.136,-0.058,22.2,9,0.33,-4.51,10092.02,-8680.51,22.8,False
SMA200_RSI_40_75,TQQQ,0.0225,-0.354,-79.24,-23.88,87.04,-0.274,-0.102,22.2,9,0.3,-8.8,16819.67,-16124.91,22.2,False
EMA_20_50_ADX15,SHY,0.0223,-0.616,-4.01,-0.7,4.01,-0.174,-0.414,10.0,10,0.15,-0.4,691.26,-522.82,37.5,False
SMA_50_200,TQQQ,0.0222,0.091,-44.13,-9.61,67.73,-0.142,0.061,33.3,3,0.47,-14.71,39213.76,-41710.79,245.7,False
