variant_name,sma_fast,sma_slow,rsi_entry,upro_pct,tqqq_pct,defensive,confirm_days,bull_caution,vix_kill,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,calmar,transitions,best_year,worst_year,year_2022_return
SMA100_200_RSI40_U100T0_CASH_C0_noBC,100,200,40,100,0,CASH,0,False,False,20.22,3.12,0.3068,0.2413,-69.25,0.0451,59,2021: +85.97%,2022: -65.30%,-65.3
SMA100_200_RSI40_U100T0_SHY_C0_noBC,100,200,40,100,0,SHY,0,False,False,19.84,3.07,0.3054,0.2709,-69.37,0.0442,59,2021: +86.06%,2022: -66.18%,-66.18
SMA50_200_RSI35_U100T0_CASH_C2_noBC,50,200,35,100,0,CASH,2,False,False,18.68,2.9,0.3027,0.245,-75.39,0.0385,35,2021: +102.01%,2022: -69.71%,-69.71
SMA100_200_RSI45_U75T25_CASH_C2_BC,100,200,45,75,25,CASH,2,True,False,15.79,2.48,0.2963,0.2373,-70.88,0.0349,207,2023: +59.63%,2022: -66.89%,-66.89
SMA50_200_RSI35_U100T0_CASH_C0_noBC,50,200,35,100,0,CASH,0,False,False,16.47,2.58,0.2945,0.2387,-75.39,0.0342,35,2021: +102.01%,2022: -69.71%,-69.71
SMA100_200_RSI45_U100T0_TLT_C2_BC,100,200,45,100,0,TLT,2,True,False,16.7,2.61,0.294,0.276,-74.47,0.035,94,2023: +57.77%,2022: -71.49%,-71.49
SMA100_200_RSI45_U75T25_SHY_C2_BC,100,200,45,75,25,SHY,2,True,False,14.92,2.35,0.2932,0.2593,-70.98,0.0331,208,2023: +61.80%,2022: -67.79%,-67.79
SMA100_200_RSI35_U100T0_TLT_C2_BC_VIX35,100,200,35,100,0,TLT,2,True,35,14.87,2.34,0.2924,0.2782,-72.48,0.0323,42,2021: +95.46%,2022: -70.39%,-70.39
SMA50_200_RSI35_U100T0_SHY_C2_noBC,50,200,35,100,0,SHY,2,False,False,15.12,2.38,0.2895,0.2602,-76.15,0.0312,36,2021: +101.96%,2022: -70.82%,-70.82
SMA100_200_RSI45_U100T0_TLT_C0_BC,100,200,45,100,0,TLT,0,True,False,15.33,2.41,0.2888,0.2713,-74.47,0.0323,93,2023: +57.77%,2022: -71.49%,-71.49
SMA100_200_RSI35_U100T0_TLT_C0_BC_VIX35,100,200,35,100,0,TLT,0,True,35,13.52,2.14,0.2875,0.2736,-72.48,0.0295,41,2021: +95.46%,2022: -70.39%,-70.39
SMA100_200_RSI45_U75T25_CASH_C0_BC,100,200,45,75,25,CASH,0,True,False,13.26,2.1,0.287,0.2302,-70.88,0.0296,207,2023: +59.63%,2022: -66.89%,-66.89
SMA100_200_RSI40_U100T0_CASH_C2_BC_VIX35,100,200,40,100,0,CASH,2,True,35,14.62,2.3,0.2869,0.2307,-69.3,0.0332,66,2021: +87.00%,2022: -64.48%,-64.48
