strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,win_rate_pct,num_trades,years,final_equity
SMA100_200_RSI45_UPRO100_cash_delay0_cautionTrue_vix35,100,200,45,100,0,cash,0,True,35.0,4000.86,72.31,-60.03,1.6033,1.2045,45.1,134,6.8,4100855.76
SMA50_200_RSI50_UPRO100_TLT_delay0_cautionTrue_vixNone,50,200,50,100,0,TLT,0,True,,2747.79,63.34,-56.62,1.597,1.1187,49.0,152,6.8,2847785.39
SMA50_200_RSI45_UPRO100_SHY_delay0_cautionTrue_vix35,50,200,45,100,0,SHY,0,True,35.0,3680.53,70.27,-62.18,1.5922,1.13,50.0,133,6.8,3780531.53
SMA100_200_RSI50_UPRO75_SHY_delay0_cautionTrue_vixNone,100,200,50,75,25,SHY,0,True,,4035.75,72.52,-47.29,1.5894,1.5334,49.7,154,6.8,4135752.8
SMA50_200_RSI45_UPRO100_cash_delay0_cautionTrue_vix35,50,200,45,100,0,cash,0,True,35.0,3631.77,69.94,-61.12,1.5874,1.1443,46.2,133,6.8,3731770.45
SMA50_200_RSI50_UPRO100_TLT_delay2_cautionTrue_vixNone,50,200,50,100,0,TLT,2,True,,2688.81,62.84,-55.27,1.5854,1.1371,49.0,152,6.8,2788811.28
SMA100_200_RSI50_UPRO75_cash_delay0_cautionTrue_vixNone,100,200,50,75,25,cash,0,True,,3987.25,72.22,-47.8,1.584,1.5109,48.4,154,6.8,4087248.71
SMA100_200_RSI50_UPRO75_TLT_delay0_cautionTrue_vixNone,100,200,50,75,25,TLT,0,True,,4125.66,73.07,-49.68,1.5802,1.4707,51.0,154,6.8,4225660.58
SMA50_200_RSI45_UPRO100_SHY_delay2_cautionTrue_vix35,50,200,45,100,0,SHY,2,True,35.0,3547.22,69.37,-61.33,1.5796,1.1311,49.2,133,6.8,3647220.01
SMA100_200_RSI45_UPRO100_TLT_delay0_cautionTrue_vix35,100,200,45,100,0,TLT,0,True,35.0,4160.6,73.27,-64.11,1.5795,1.143,50.4,134,6.8,4260601.29
SMA50_200_RSI45_UPRO100_cash_delay2_cautionTrue_vix35,50,200,45,100,0,cash,2,True,35.0,3515.64,69.16,-60.25,1.5764,1.1477,46.2,133,6.8,3615638.19
SMA100_200_RSI45_UPRO75_SHY_delay2_cautionTrue_vix35,100,200,45,75,25,SHY,2,True,35.0,4652.55,76.07,-61.91,1.5761,1.2288,50.8,133,6.8,4752550.56
SMA100_200_RSI45_UPRO75_cash_delay2_cautionTrue_vix35,100,200,45,75,25,cash,2,True,35.0,4537.81,75.44,-61.88,1.5678,1.2191,46.2,133,6.8,4637805.99
SMA100_200_RSI45_UPRO75_TLT_delay2_cautionTrue_vix35,100,200,45,75,25,TLT,2,True,35.0,4810.94,76.92,-66.79,1.5548,1.1516,50.8,133,6.8,4910939.67
SMA50_200_RSI50_UPRO75_SHY_delay0_cautionTrue_vixNone,50,200,50,75,25,SHY,0,True,,2898.39,64.58,-47.29,1.5531,1.3655,49.0,152,6.8,2998386.58
SMA50_200_RSI50_UPRO75_cash_delay0_cautionTrue_vixNone,50,200,50,75,25,cash,0,True,,2874.91,64.39,-47.8,1.5489,1.347,48.3,152,6.8,2974905.56
SMA50_200_RSI45_UPRO100_TLT_delay0_cautionTrue_vix35,50,200,45,100,0,TLT,0,True,35.0,3542.38,69.34,-70.12,1.5395,0.9889,50.0,133,6.8,3642376.64
SMA50_200_RSI50_UPRO75_SHY_delay2_cautionTrue_vixNone,50,200,50,75,25,SHY,2,True,,2796.25,63.75,-47.29,1.5366,1.3479,48.3,152,6.8,2896250.87
SMA100_200_RSI45_UPRO75_SHY_delay0_cautionTrue_vix35,100,200,45,75,25,SHY,0,True,35.0,4121.25,73.04,-61.91,1.5363,1.1798,49.6,134,6.8,4221246.31
SMA50_200_RSI50_UPRO75_cash_delay2_cautionTrue_vixNone,50,200,50,75,25,cash,2,True,,2788.75,63.69,-47.8,1.5347,1.3322,48.3,152,6.8,2888748.62
SMA100_200_RSI45_UPRO75_cash_delay0_cautionTrue_vix35,100,200,45,75,25,cash,0,True,35.0,4047.21,72.59,-61.88,1.5302,1.1731,45.1,134,6.8,4147209.07
SMA50_200_RSI50_UPRO75_TLT_delay0_cautionTrue_vixNone,50,200,50,75,25,TLT,0,True,,2865.07,64.31,-57.99,1.5281,1.1089,50.3,152,6.8,2965072.99
SMA50_200_RSI45_UPRO100_TLT_delay2_cautionTrue_vix35,50,200,45,100,0,TLT,2,True,35.0,3407.43,68.41,-69.19,1.5263,0.9887,50.0,133,6.8,3507433.61
SMA50_200_RSI45_UPRO75_SHY_delay0_cautionTrue_vix35,50,200,45,75,25,SHY,0,True,35.0,3721.93,70.54,-63.79,1.5182,1.1057,50.0,133,6.8,3821928.96
SMA50_200_RSI45_UPRO75_cash_delay0_cautionTrue_vix35,50,200,45,75,25,cash,0,True,35.0,3672.72,70.21,-62.63,1.5137,1.1212,46.2,133,6.8,3772723.68
SMA50_200_RSI50_UPRO75_TLT_delay2_cautionTrue_vixNone,50,200,50,75,25,TLT,2,True,,2767.31,63.51,-56.7,1.5127,1.12,50.3,152,6.8,2867305.02
SMA100_200_RSI45_UPRO75_TLT_delay0_cautionTrue_vix35,100,200,45,75,25,TLT,0,True,35.0,4209.7,73.57,-66.15,1.5127,1.1121,50.4,134,6.8,4309695.81
SMA50_200_RSI45_UPRO75_SHY_delay2_cautionTrue_vix35,50,200,45,75,25,SHY,2,True,35.0,3533.25,69.28,-63.12,1.5009,1.0975,49.2,133,6.8,3633247.71
SMA50_200_RSI45_UPRO75_cash_delay2_cautionTrue_vix35,50,200,45,75,25,cash,2,True,35.0,3501.89,69.06,-61.94,1.498,1.115,46.2,133,6.8,3601891.56
SMA50_200_RSI45_UPRO75_TLT_delay0_cautionTrue_vix35,50,200,45,75,25,TLT,0,True,35.0,3583.29,69.62,-71.65,1.4739,0.9716,49.2,133,6.8,3683286.77
SMA50_200_RSI45_UPRO75_TLT_delay2_cautionTrue_vix35,50,200,45,75,25,TLT,2,True,35.0,3394.86,68.32,-70.78,1.4563,0.9653,50.0,133,6.8,3494859.52
SMA100_200_RSI45_UPRO100_TLT_delay2_cautionTrue_vixNone,100,200,45,100,0,TLT,2,True,,3649.66,70.06,-66.46,1.4191,1.0542,48.8,124,6.8,3749663.57
SMA100_200_RSI45_UPRO100_SHY_delay2_cautionTrue_vixNone,100,200,45,100,0,SHY,2,True,,3479.05,68.91,-60.06,1.4153,1.1473,48.0,124,6.8,3579046.62
SMA100_200_RSI45_UPRO100_cash_delay2_cautionTrue_vixNone,100,200,45,100,0,cash,2,True,,3413.29,68.45,-60.03,1.4087,1.1402,47.2,124,6.8,3513289.5
SMA100_200_RSI45_UPRO75_TLT_delay2_cautionTrue_vixNone,100,200,45,75,25,TLT,2,True,,3837.87,71.29,-68.34,1.3887,1.0431,48.8,124,6.8,3937874.56
SMA100_200_RSI45_UPRO75_SHY_delay2_cautionTrue_vixNone,100,200,45,75,25,SHY,2,True,,3657.98,70.12,-61.91,1.384,1.1326,48.0,124,6.8,3757979.97
SMA100_200_RSI45_UPRO100_TLT_delay0_cautionTrue_vixNone,100,200,45,100,0,TLT,0,True,,3206.9,66.96,-65.71,1.3803,1.019,48.4,125,6.8,3306902.53
SMA100_200_RSI45_UPRO100_SHY_delay0_cautionTrue_vixNone,100,200,45,100,0,SHY,0,True,,3094.64,66.12,-60.06,1.3794,1.1009,46.8,125,6.8,3194636.24
SMA100_200_RSI45_UPRO75_cash_delay2_cautionTrue_vixNone,100,200,45,75,25,cash,2,True,,3589.07,69.66,-61.88,1.3779,1.1256,47.2,124,6.8,3689072.68
SMA100_200_RSI45_UPRO100_cash_delay0_cautionTrue_vixNone,100,200,45,100,0,cash,0,True,,3057.16,65.83,-60.03,1.375,1.0966,46.0,125,6.8,3157163.5
SMA100_200_RSI45_UPRO75_TLT_delay0_cautionTrue_vixNone,100,200,45,75,25,TLT,0,True,,3355.76,68.04,-67.73,1.3497,1.0046,48.4,125,6.8,3455762.57
SMA100_200_RSI45_UPRO75_SHY_delay0_cautionTrue_vixNone,100,200,45,75,25,SHY,0,True,,3237.86,67.19,-61.91,1.348,1.0853,46.8,125,6.8,3337862.25
SMA100_200_RSI45_UPRO75_cash_delay0_cautionTrue_vixNone,100,200,45,75,25,cash,0,True,,3198.83,66.9,-61.88,1.3438,1.0811,46.0,125,6.8,3298834.78
SMA100_200_RSI40_UPRO100_SHY_delay2_cautionTrue_vix35,100,200,40,100,0,SHY,2,True,35.0,2251.3,58.82,-60.18,1.3406,0.9774,50.5,92,6.8,2351304.15
SMA100_200_RSI40_UPRO100_cash_delay2_cautionTrue_vix35,100,200,40,100,0,cash,2,True,35.0,2218.13,58.49,-60.07,1.336,0.9738,42.9,92,6.8,2318127.76
SMA100_200_RSI40_UPRO100_SHY_delay0_cautionTrue_vix35,100,200,40,100,0,SHY,0,True,35.0,2031.6,56.56,-60.18,1.3088,0.9398,49.5,92,6.8,2131598.36
SMA100_200_RSI40_UPRO100_cash_delay0_cautionTrue_vix35,100,200,40,100,0,cash,0,True,35.0,2020.3,56.43,-60.07,1.3072,0.9395,42.9,92,6.8,2120301.43
SMA100_200_RSI40_UPRO100_TLT_delay2_cautionTrue_vix35,100,200,40,100,0,TLT,2,True,35.0,2200.28,58.31,-65.56,1.3048,0.8894,48.4,92,6.8,2300275.32
SMA50_200_RSI40_UPRO100_SHY_delay0_cautionTrue_vix35,50,200,40,100,0,SHY,0,True,35.0,1868.53,54.74,-64.02,1.2947,0.855,50.6,84,6.8,1968534.29
SMA50_200_RSI40_UPRO100_cash_delay0_cautionTrue_vix35,50,200,40,100,0,cash,0,True,35.0,1861.35,54.66,-63.05,1.2937,0.8669,44.6,84,6.8,1961347.83
SMA50_200_RSI45_UPRO100_SHY_delay0_cautionTrue_vixNone,50,200,45,100,0,SHY,0,True,,1948.77,55.65,-64.07,1.2882,0.8686,47.6,127,6.8,2048771.34
SMA50_200_RSI45_UPRO100_cash_delay0_cautionTrue_vixNone,50,200,45,100,0,cash,0,True,,1931.6,55.46,-63.1,1.2847,0.8789,46.8,127,6.8,2031598.09
SMA50_200_RSI40_UPRO100_cash_delay2_cautionTrue_vix35,50,200,40,100,0,cash,2,True,35.0,1800.31,53.94,-62.23,1.2831,0.8669,44.6,84,6.8,1900310.91
SMA50_200_RSI40_UPRO100_SHY_delay2_cautionTrue_vix35,50,200,40,100,0,SHY,2,True,35.0,1799.12,53.93,-63.21,1.2825,0.8531,49.4,84,6.8,1899118.58
