strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,win_rate_pct,num_trades,years,final_equity
SMA50_200_RSI40_UPRO100_SHY_delay2_cautionTrue,50,200,40,100,0,SHY,2,True,488.17,40.91,-65.05,1.038,0.6289,44.8,59,5.2,588170.62
SMA100_200_RSI40_UPRO75_TLT_delay2_cautionTrue,100,200,40,75,25,TLT,2,True,535.12,43.02,-69.06,1.015,0.623,46.8,63,5.2,635124.1
SMA100_200_RSI40_UPRO75_TLT_delay0_cautionTrue,100,200,40,75,25,TLT,0,True,513.32,42.06,-67.82,1.0021,0.6201,46.8,63,5.2,613319.27
SMA100_200_RSI35_UPRO100_cash_delay2_cautionTrue,100,200,35,100,0,cash,2,True,440.17,38.61,-62.35,0.9735,0.6192,31.4,36,5.2,540170.45
SMA100_200_RSI35_UPRO100_cash_delay0_cautionTrue,100,200,35,100,0,cash,0,True,434.37,38.32,-62.48,0.9693,0.6133,33.3,37,5.2,534366.2
SMA100_200_RSI35_UPRO100_SHY_delay2_cautionTrue,100,200,35,100,0,SHY,2,True,434.08,38.3,-63.26,0.9684,0.6055,37.1,36,5.2,534076.63
SMA100_200_RSI35_UPRO100_SHY_delay0_cautionTrue,100,200,35,100,0,SHY,0,True,424.58,37.83,-63.37,0.9612,0.5969,36.1,37,5.2,524584.76
SMA50_200_RSI40_UPRO75_cash_delay2_cautionTrue,50,200,40,75,25,cash,2,True,423.92,37.79,-65.82,0.9562,0.5742,43.1,59,5.2,523918.44
SMA50_200_RSI40_UPRO75_cash_delay0_cautionTrue,50,200,40,75,25,cash,0,True,422.16,37.7,-66.43,0.955,0.5675,43.1,59,5.2,522163.66
SMA50_200_RSI40_UPRO75_SHY_delay0_cautionTrue,50,200,40,75,25,SHY,0,True,412.93,37.23,-67.42,0.9474,0.5522,44.8,59,5.2,512933.42
SMA50_200_RSI40_UPRO75_SHY_delay2_cautionTrue,50,200,40,75,25,SHY,2,True,411.16,37.14,-66.82,0.9457,0.5558,43.1,59,5.2,511157.25
SMA50_200_RSI40_UPRO100_TLT_delay0_cautionTrue,50,200,40,100,0,TLT,0,True,365.56,34.68,-71.34,0.9267,0.4861,46.6,59,5.2,465563.79
SMA50_200_RSI40_UPRO100_TLT_delay2_cautionTrue,50,200,40,100,0,TLT,2,True,359.09,34.31,-70.57,0.9204,0.4862,44.8,59,5.2,459090.84
SMA100_200_RSI35_UPRO100_TLT_delay2_cautionTrue,100,200,35,100,0,TLT,2,True,366.12,34.71,-70.01,0.9034,0.4958,34.3,36,5.2,466117.78
SMA100_200_RSI35_UPRO100_TLT_delay0_cautionTrue,100,200,35,100,0,TLT,0,True,339.8,33.2,-68.62,0.8796,0.4839,36.1,37,5.2,439802.88
SMA50_200_RSI35_UPRO100_cash_delay2_cautionTrue,50,200,35,100,0,cash,2,True,300.61,30.82,-67.26,0.858,0.4582,32.4,35,5.2,400611.94
SMA100_200_RSI35_UPRO75_cash_delay2_cautionTrue,100,200,35,75,25,cash,2,True,330.21,32.63,-64.99,0.8545,0.5021,31.4,36,5.2,430209.67
SMA100_200_RSI35_UPRO75_SHY_delay2_cautionTrue,100,200,35,75,25,SHY,2,True,325.35,32.34,-65.62,0.8499,0.4929,37.1,36,5.2,425346.65
SMA50_200_RSI35_UPRO100_cash_delay0_cautionTrue,50,200,35,100,0,cash,0,True,291.89,30.26,-68.53,0.849,0.4416,32.4,35,5.2,391888.85
SMA50_200_RSI35_UPRO100_SHY_delay2_cautionTrue,50,200,35,100,0,SHY,2,True,291.01,30.2,-68.02,0.8472,0.4441,32.4,35,5.2,391010.82
SMA100_200_RSI35_UPRO75_cash_delay0_cautionTrue,100,200,35,75,25,cash,0,True,320.57,32.05,-64.93,0.8458,0.4937,33.3,37,5.2,420574.3
SMA50_200_RSI40_UPRO75_TLT_delay0_cautionTrue,50,200,40,75,25,TLT,0,True,305.2,31.11,-72.9,0.8447,0.4267,44.8,59,5.2,405199.46
SMA50_200_RSI35_UPRO100_SHY_delay0_cautionTrue,50,200,35,100,0,SHY,0,True,284.79,29.8,-69.29,0.8409,0.4301,35.3,35,5.2,384786.16
SMA100_200_RSI35_UPRO75_SHY_delay0_cautionTrue,100,200,35,75,25,SHY,0,True,312.87,31.58,-65.9,0.8384,0.4792,36.1,37,5.2,412866.47
SMA50_200_RSI40_UPRO75_TLT_delay2_cautionTrue,50,200,40,75,25,TLT,2,True,299.05,30.72,-72.14,0.8382,0.4258,43.1,59,5.2,399045.84
SMA100_200_RSI35_UPRO75_TLT_delay2_cautionTrue,100,200,35,75,25,TLT,2,True,271.27,28.9,-71.92,0.7923,0.4019,37.1,36,5.2,371268.84
SMA100_200_RSI35_UPRO75_TLT_delay0_cautionTrue,100,200,35,75,25,TLT,0,True,246.18,27.17,-70.8,0.7654,0.3838,38.9,37,5.2,346183.03
