strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,num_trades,years,final_equity
SMA100_200_RSI40_UPRO100_cash_delay0_cautionTrue_vix35,100,200,40,100,0,cash,0,True,35.0,1077.58,61.18,-60.07,1.3483,1.0185,69,5.2,1177578.41
SMA100_200_RSI40_UPRO100_SHY_delay0_cautionTrue_vix35,100,200,40,100,0,SHY,0,True,35.0,1051.44,60.48,-60.18,1.338,1.005,69,5.2,1151440.63
SMA100_200_RSI40_UPRO100_cash_delay2_cautionTrue_vix35,100,200,40,100,0,cash,2,True,35.0,1052.72,60.51,-60.07,1.3367,1.0074,69,5.2,1152720.94
SMA100_200_RSI45_UPRO75_TLT_delay2_cautionTrue_vixNone,100,200,45,75,25,TLT,2,True,,1154.42,63.16,-68.34,1.3321,0.9242,96,5.2,1254420.05
SMA100_200_RSI40_UPRO100_SHY_delay2_cautionTrue_vix35,100,200,40,100,0,SHY,2,True,35.0,1033.96,60.0,-60.18,1.3291,0.9971,69,5.2,1133963.37
SMA100_200_RSI45_UPRO75_TLT_delay0_cautionTrue_vixNone,100,200,45,75,25,TLT,0,True,,1087.2,61.43,-67.73,1.3093,0.907,96,5.2,1187196.85
SMA50_200_RSI45_UPRO100_TLT_delay2_cautionTrue_vix35,50,200,45,100,0,TLT,2,True,35.0,863.11,55.03,-69.19,1.3032,0.7953,97,5.2,963113.07
SMA50_200_RSI45_UPRO100_TLT_delay0_cautionTrue_vix35,50,200,45,100,0,TLT,0,True,35.0,860.07,54.93,-70.12,1.3019,0.7834,97,5.2,960073.32
SMA50_200_RSI45_UPRO75_cash_delay2_cautionTrue_vixNone,50,200,45,75,25,cash,2,True,,903.82,56.27,-63.95,1.2709,0.88,95,5.2,1003823.76
SMA50_200_RSI45_UPRO75_cash_delay0_cautionTrue_vixNone,50,200,45,75,25,cash,0,True,,900.46,56.17,-64.6,1.2699,0.8696,95,5.2,1000461.61
SMA50_200_RSI45_UPRO75_SHY_delay0_cautionTrue_vixNone,50,200,45,75,25,SHY,0,True,,884.33,55.68,-65.67,1.2625,0.8479,95,5.2,984329.12
SMA50_200_RSI45_UPRO75_SHY_delay2_cautionTrue_vixNone,50,200,45,75,25,SHY,2,True,,880.92,55.58,-65.04,1.2605,0.8545,95,5.2,980920.61
SMA100_200_RSI40_UPRO75_cash_delay0_cautionTrue_vix35,100,200,40,75,25,cash,0,True,35.0,949.84,57.63,-61.85,1.242,0.9318,69,5.2,1049839.09
SMA100_200_RSI40_UPRO75_cash_delay2_cautionTrue_vix35,100,200,40,75,25,cash,2,True,35.0,940.29,57.36,-61.85,1.2367,0.9273,69,5.2,1040293.45
SMA100_200_RSI40_UPRO75_SHY_delay0_cautionTrue_vix35,100,200,40,75,25,SHY,0,True,35.0,926.53,56.95,-61.96,1.2325,0.9192,69,5.2,1026529.16
SMA100_200_RSI40_UPRO75_SHY_delay2_cautionTrue_vix35,100,200,40,75,25,SHY,2,True,35.0,923.36,56.86,-61.96,1.2296,0.9177,69,5.2,1023358.01
SMA50_200_RSI45_UPRO100_TLT_delay0_cautionTrue_vixNone,50,200,45,100,0,TLT,0,True,,739.76,50.97,-71.45,1.2236,0.7133,95,5.2,839764.63
SMA50_200_RSI45_UPRO75_TLT_delay2_cautionTrue_vix35,50,200,45,75,25,TLT,2,True,35.0,804.01,53.14,-70.78,1.2226,0.7508,97,5.2,904007.88
SMA50_200_RSI45_UPRO75_TLT_delay0_cautionTrue_vix35,50,200,45,75,25,TLT,0,True,35.0,800.41,53.02,-71.65,1.221,0.74,97,5.2,900413.97
SMA100_200_RSI40_UPRO100_TLT_delay2_cautionTrue_vix35,100,200,40,100,0,TLT,2,True,35.0,805.51,53.19,-65.56,1.2179,0.8112,69,5.2,905509.54
SMA50_200_RSI45_UPRO100_TLT_delay2_cautionTrue_vixNone,50,200,45,100,0,TLT,2,True,,728.09,50.56,-70.56,1.2168,0.7165,95,5.2,828089.0
SMA100_200_RSI40_UPRO100_TLT_delay0_cautionTrue_vix35,100,200,40,100,0,TLT,0,True,35.0,785.16,52.51,-63.97,1.2099,0.8209,69,5.2,885156.01
SMA50_200_RSI40_UPRO100_cash_delay2_cautionTrue_vix35,50,200,40,100,0,cash,2,True,35.0,718.66,50.22,-62.23,1.2057,0.8071,63,5.2,818661.4
SMA50_200_RSI40_UPRO100_cash_delay0_cautionTrue_vix35,50,200,40,100,0,cash,0,True,35.0,712.88,50.02,-63.05,1.2026,0.7933,63,5.2,812881.92
SMA100_200_RSI40_UPRO100_cash_delay0_cautionTrue_vixNone,100,200,40,100,0,cash,0,True,,769.28,51.98,-60.26,1.1939,0.8625,63,5.2,869283.3
SMA50_200_RSI40_UPRO100_SHY_delay2_cautionTrue_vix35,50,200,40,100,0,SHY,2,True,35.0,697.31,49.46,-63.21,1.1933,0.7824,63,5.2,797306.68
SMA50_200_RSI40_UPRO100_SHY_delay0_cautionTrue_vix35,50,200,40,100,0,SHY,0,True,35.0,695.17,49.38,-64.02,1.1922,0.7713,63,5.2,795166.52
SMA100_200_RSI40_UPRO100_SHY_delay0_cautionTrue_vixNone,100,200,40,100,0,SHY,0,True,,753.57,51.44,-60.39,1.1857,0.8518,63,5.2,853574.58
SMA100_200_RSI40_UPRO100_cash_delay2_cautionTrue_vixNone,100,200,40,100,0,cash,2,True,,750.93,51.35,-60.26,1.183,0.8522,63,5.2,850933.62
SMA100_200_RSI40_UPRO100_SHY_delay2_cautionTrue_vixNone,100,200,40,100,0,SHY,2,True,,740.62,51.0,-60.39,1.1774,0.8444,63,5.2,840618.51
SMA50_200_RSI45_UPRO75_TLT_delay0_cautionTrue_vixNone,50,200,45,75,25,TLT,0,True,,676.95,48.71,-72.97,1.1459,0.6676,95,5.2,776954.22
SMA50_200_RSI45_UPRO75_TLT_delay2_cautionTrue_vixNone,50,200,45,75,25,TLT,2,True,,665.15,48.27,-72.14,1.139,0.6692,95,5.2,765154.89
SMA100_200_RSI40_UPRO75_TLT_delay2_cautionTrue_vix35,100,200,40,75,25,TLT,2,True,35.0,717.34,50.18,-67.55,1.129,0.7429,69,5.2,817338.07
SMA100_200_RSI35_UPRO100_cash_delay2_cautionTrue_vix35,100,200,35,100,0,cash,2,True,35.0,632.45,47.02,-62.15,1.1171,0.7566,42,5.2,732452.49
SMA100_200_RSI40_UPRO75_TLT_delay0_cautionTrue_vix35,100,200,40,75,25,TLT,0,True,35.0,689.28,49.17,-66.25,1.1162,0.7421,69,5.2,789277.54
SMA100_200_RSI35_UPRO100_cash_delay0_cautionTrue_vix35,100,200,35,100,0,cash,0,True,35.0,624.58,46.72,-62.15,1.1129,0.7517,43,5.2,724582.12
SMA100_200_RSI35_UPRO100_SHY_delay2_cautionTrue_vix35,100,200,35,100,0,SHY,2,True,35.0,621.06,46.58,-62.19,1.1102,0.749,42,5.2,721063.48
SMA50_200_RSI40_UPRO75_cash_delay2_cautionTrue_vix35,50,200,40,75,25,cash,2,True,35.0,628.31,46.86,-63.92,1.1066,0.7332,63,5.2,728309.29
SMA50_200_RSI40_UPRO75_cash_delay0_cautionTrue_vix35,50,200,40,75,25,cash,0,True,35.0,622.55,46.64,-64.57,1.1033,0.7223,63,5.2,722546.62
SMA100_200_RSI35_UPRO100_SHY_delay0_cautionTrue_vix35,100,200,35,100,0,SHY,0,True,35.0,608.25,46.07,-62.19,1.1029,0.7409,43,5.2,708248.38
SMA100_200_RSI40_UPRO100_TLT_delay2_cautionTrue_vixNone,100,200,40,100,0,TLT,2,True,,618.76,46.49,-67.1,1.1,0.6928,63,5.2,718757.76
