date,state,spy_close,qqq_close,vix,upro_shares,tqqq_shares,cash,upro_value,tqqq_value,portfolio_value,data_source
2013-05-21,BULL_100,167.17,74.27,13.37,22461.651,58238.5968,1351.77,132346.29,45746.42,179444.48,polygon
2013-05-22,BULL_100,165.93,73.62,13.82,22461.651,58238.5968,1351.77,129287.02,44628.24,175267.03,polygon
2013-05-23,BULL_100,165.45,73.45,14.07,22461.651,58238.5968,1351.77,128256.03,44144.86,173752.66,polygon
2013-05-24,BULL_100,165.31,73.41,13.99,22461.651,58238.5968,1351.77,127797.81,44115.74,173265.32,polygon
2013-05-28,BULL_100,166.3,73.89,14.48,22461.651,58238.5968,1351.77,130176.5,45024.26,176552.53,polygon
2013-05-29,BULL_100,165.22,73.54,14.83,22461.651,58238.5968,1351.77,128471.66,44348.69,174172.12,polygon
2013-05-30,BULL_100,165.83,73.93,14.53,22461.651,58238.5968,1351.77,129060.15,45070.85,175482.78,polygon
2013-05-31,BULL_100,163.44,73.25,16.3,22461.651,58238.5968,1351.77,123408.8,43783.78,168544.35,polygon
2013-06-03,BULL_100,164.35,73.38,16.28,22461.651,58238.5968,1351.77,125392.17,44040.03,170783.97,polygon
2013-06-04,BULL_100,163.56,73.0,16.27,22461.651,58238.5968,1351.77,123736.74,43376.11,168464.62,polygon
2013-06-05,BULL_100,161.27,72.05,17.5,22461.651,58238.5968,1351.77,118204.44,41716.31,161272.52,polygon
2013-06-06,BULL_100,162.73,72.4,16.63,22461.651,58238.5968,1351.77,121564.7,42222.98,165139.46,polygon
2013-06-07,BULL_100,164.8,73.39,15.14,22461.651,58238.5968,1351.77,126245.71,43993.44,171590.92,polygon
2013-06-10,BULL_100,164.8,73.42,15.44,22461.651,58238.5968,1351.77,126254.69,44010.91,171617.37,polygon
2013-06-11,BULL_100,163.1,72.69,17.07,22461.651,58238.5968,1351.77,122492.37,42735.48,166579.62,polygon
2013-06-12,BULL_100,161.75,71.85,18.59,22461.651,58238.5968,1351.77,119291.58,41256.22,161899.58,polygon
2013-06-13,BULL_100,164.21,72.76,16.41,22461.651,58238.5968,1351.77,124812.66,42735.48,168899.91,polygon
2013-06-14,BULL_100,163.18,72.28,17.15,22461.651,58238.5968,1351.77,122472.15,41984.2,165808.13,polygon
2013-06-17,BULL_100,164.44,72.98,16.8,22461.651,58238.5968,1351.77,125300.07,43148.98,169800.82,polygon
2013-06-18,BULL_100,165.74,73.58,16.61,22461.651,58238.5968,1351.77,128163.93,44168.15,173683.86,polygon
2013-06-19,BULL_100,163.45,72.76,16.64,22461.651,58238.5968,1351.77,122997.75,42776.25,167125.78,polygon
2013-06-20,BULL_100,159.4,71.03,20.49,22461.651,58238.5968,1351.77,113732.32,39625.54,154709.64,polygon
2013-06-21,BULL_100,159.07,70.43,18.9,22461.651,58238.5968,1351.77,114666.73,39066.45,155084.95,polygon
2013-06-24,DEFENSIVE_BOTH,157.06,69.73,20.11,11412.1633,28780.0402,75106.61,56072.52,18707.03,149886.16,polygon
2013-06-25,DEFENSIVE_BOTH,158.57,70.24,18.47,11412.1633,28780.0402,75106.61,57753.53,19107.07,151967.21,polygon
2013-06-26,DEFENSIVE_BOTH,160.14,70.87,17.21,11412.1633,28780.0402,75106.61,59362.65,19627.99,154097.25,polygon
2013-06-27,DEFENSIVE_BOTH,161.08,71.17,16.86,11412.1633,28780.0402,75106.61,60493.6,19846.72,155446.92,polygon
2013-06-28,DEFENSIVE_BOTH,160.42,71.27,16.86,11412.1633,28780.0402,75106.61,59400.31,19901.4,154408.32,polygon
2013-07-01,DEFENSIVE_BOTH,161.36,71.71,16.37,11412.1633,28780.0402,75106.61,60750.37,20327.34,156184.32,polygon
2013-07-02,DEFENSIVE_BOTH,161.21,71.74,16.44,11412.1633,28780.0402,75106.61,60513.0,20335.98,155955.58,polygon
2013-07-03,DEFENSIVE_BOTH,161.28,72.03,16.2,11412.1633,28780.0402,75106.61,60702.44,20609.39,156418.43,polygon
2013-07-05,DEFENSIVE_BOTH,163.02,72.58,14.89,11412.1633,28780.0402,75106.61,62595.72,21066.99,158769.31,polygon
2013-07-08,DEFENSIVE_BOTH,163.94,72.65,14.78,11412.1633,28780.0402,75106.61,63651.34,21136.06,159894.01,polygon
2013-07-09,BULL_100,165.13,73.09,14.35,21088.7715,53646.7756,1404.28,119995.11,40122.42,161521.82,polygon
2013-07-10,BULL_100,165.19,73.51,14.21,21088.7715,53646.7756,1404.28,120241.85,40798.37,162444.5,polygon
2013-07-11,BULL_100,167.44,74.97,14.01,21088.7715,53646.7756,1404.28,125320.02,43341.23,170065.54,polygon
2013-07-12,BULL_100,167.51,75.3,13.84,21088.7715,53646.7756,1404.28,125353.77,43791.86,170549.91,polygon
2013-07-15,BULL_100,168.22,75.47,13.79,21088.7715,53646.7756,1404.28,126990.26,44129.84,172524.38,polygon
2013-07-16,BULL_100,167.53,75.37,14.42,21088.7715,53646.7756,1404.28,125442.34,43958.17,170804.79,polygon
2013-07-17,BULL_100,167.95,75.56,13.78,21088.7715,53646.7756,1404.28,126304.87,44269.32,171978.47,polygon
2013-07-18,BULL_100,168.87,75.37,13.77,21088.7715,53646.7756,1404.28,128361.03,43947.44,173712.75,polygon
2013-07-19,BULL_100,169.17,74.59,12.54,21088.7715,53646.7756,1404.28,129204.58,42611.63,173220.49,polygon
2013-07-22,BULL_100,169.5,74.81,12.29,21088.7715,53646.7756,1404.28,129873.09,42917.42,174194.79,polygon
2013-07-23,BULL_100,169.14,74.26,12.66,21088.7715,53646.7756,1404.28,129099.13,41962.51,172465.92,polygon
2013-07-24,BULL_100,168.52,74.5,13.18,21088.7715,53646.7756,1404.28,127675.64,42359.49,171439.42,polygon
2013-07-25,BULL_100,168.93,74.97,12.97,21088.7715,53646.7756,1404.28,128464.36,43121.28,172989.92,polygon
2013-07-26,BULL_100,169.11,75.37,12.72,21088.7715,53646.7756,1404.28,128888.24,43840.14,174132.67,polygon
2013-07-29,BULL_100,168.59,75.23,13.39,21088.7715,53646.7756,1404.28,127603.94,43641.65,172649.87,polygon
2013-07-30,BULL_100,168.59,75.63,13.39,21088.7715,53646.7756,1404.28,127764.21,44290.78,173459.27,polygon
2013-07-31,BULL_100,168.71,75.77,13.45,21088.7715,53646.7756,1404.28,127781.08,44569.74,173755.11,polygon
2013-08-01,BULL_100,170.66,76.54,12.94,21088.7715,53646.7756,1404.28,132321.5,45927.0,179652.78,polygon
2013-08-02,BULL_100,170.95,76.97,11.98,21088.7715,53646.7756,1404.28,133000.56,46694.15,181098.99,polygon
2013-08-05,BULL_100,170.7,77.02,11.84,21088.7715,53646.7756,1404.28,132490.21,46790.72,180685.21,polygon
