date,step2_state,combined_state,vix,spy_close,spxu_close,svix_close,svix_available,spxu_shares,svix_shares,spxu_value,svix_value,cash,portfolio_value,allocation,data_source
2023-09-21,DEFENSIVE_BOTH,DEFENSIVE_BOTH,17.54,431.11,11.6,28.67,YES,0.0,0.0,0.0,0.0,294218.26,294218.26,0.0,databento
2023-09-22,DEFENSIVE_BOTH,DEFENSIVE_BOTH,17.2,430.65,11.61,28.76,YES,0.0,0.0,0.0,0.0,293978.85,293978.85,0.0,databento
2023-09-25,DEFENSIVE_BOTH,DEFENSIVE_BOTH,16.9,432.12,11.53,28.96,YES,0.0,0.0,0.0,0.0,295435.57,295435.57,0.0,databento
2023-09-26,DEFENSIVE_BOTH,DEFENSIVE_BOTH,18.94,426.55,11.98,26.46,YES,0.0,0.0,0.0,0.0,289956.87,289956.87,0.0,databento
2023-09-27,DEFENSIVE_BOTH,DEFENSIVE_BOTH,18.22,426.66,11.97,27.23,YES,0.0,0.0,0.0,0.0,290242.73,290242.73,0.0,databento
2023-09-28,DEFENSIVE_BOTH,DEFENSIVE_BOTH,17.34,428.67,11.81,28.6,YES,0.0,0.0,0.0,0.0,292184.4,292184.4,0.0,databento
2023-09-29,DEFENSIVE_BOTH,DEFENSIVE_BOTH,17.52,427.45,11.9,28.0,YES,0.0,0.0,0.0,0.0,291578.7,291578.7,0.0,databento
2023-10-02,DEFENSIVE_BOTH,DEFENSIVE_BOTH,17.61,427.38,11.94,27.93,YES,0.0,0.0,0.0,0.0,292098.98,292098.98,0.0,databento
2023-10-03,DEFENSIVE_BOTH,DEFENSIVE_BOTH,19.78,421.58,12.44,25.34,YES,0.0,0.0,0.0,0.0,285925.58,285925.58,0.0,databento
2023-10-04,DEFENSIVE_BOTH,DEFENSIVE_BOTH,18.58,424.14,12.21,26.33,YES,0.0,0.0,0.0,0.0,289051.23,289051.23,0.0,databento
2023-10-05,DEFENSIVE_BOTH,DEFENSIVE_BOTH,18.49,423.92,12.26,26.6,YES,0.0,0.0,0.0,0.0,288296.87,288296.87,0.0,databento
2023-10-06,DEFENSIVE_BOTH,DEFENSIVE_BOTH,17.45,430.2,11.71,27.19,YES,0.0,0.0,0.0,0.0,294546.16,294546.16,0.0,databento
2023-10-09,DEFENSIVE_BOTH,DEFENSIVE_BOTH,17.7,432.26,11.56,27.57,YES,0.0,0.0,0.0,0.0,296630.58,296630.58,0.0,databento
2023-10-10,DEFENSIVE_BOTH,DEFENSIVE_BOTH,17.03,434.62,11.38,28.4,YES,0.0,0.0,0.0,0.0,298910.98,298910.98,0.0,databento
2023-10-11,DEFENSIVE_BOTH,DEFENSIVE_BOTH,16.09,437.36,11.17,29.13,YES,0.0,0.0,0.0,0.0,301864.31,301864.31,0.0,databento
2023-10-12,DEFENSIVE_SPY,DEFENSIVE_SPY,16.69,433.94,11.46,28.37,YES,0.0,0.0,0.0,0.0,297827.2,297827.2,0.0,databento
2023-10-13,DEFENSIVE_SPY,DEFENSIVE_SPY,19.32,430.51,11.71,24.9,YES,0.0,0.0,0.0,0.0,291802.51,291802.51,0.0,databento
