date,step2_state,step3_state,spy_close,vix,spxu_close,spxu_shares,spxu_value,cash,portfolio_value,data_source
2019-04-02,BULL_100,INACTIVE,285.97,13.36,30.6,0.0,0.0,90601.34,90601.34,polygon
2019-04-03,BULL_100,INACTIVE,286.42,13.74,30.16,0.0,0.0,90601.34,90601.34,polygon
2019-04-04,BULL_100,INACTIVE,287.18,13.58,30.07,0.0,0.0,90601.34,90601.34,polygon
2019-04-05,BULL_100,INACTIVE,288.57,12.82,29.6,0.0,0.0,90601.34,90601.34,polygon
2019-04-08,BULL_100,INACTIVE,288.79,13.18,29.62,0.0,0.0,90601.34,90601.34,polygon
2019-04-09,BULL_100,INACTIVE,287.31,14.28,30.07,0.0,0.0,90601.34,90601.34,polygon
2019-04-10,BULL_100,INACTIVE,288.29,13.3,29.67,0.0,0.0,90601.34,90601.34,polygon
2019-04-11,BULL_100,INACTIVE,288.21,13.02,29.8,0.0,0.0,90601.34,90601.34,polygon
2019-04-12,BULL_100,INACTIVE,290.16,12.01,29.26,0.0,0.0,90601.34,90601.34,polygon
2019-04-15,BULL_100,INACTIVE,289.97,12.32,29.25,0.0,0.0,90601.34,90601.34,polygon
2019-04-16,BULL_100,INACTIVE,290.16,12.18,29.29,0.0,0.0,90601.34,90601.34,polygon
2019-04-17,BULL_100,INACTIVE,289.45,12.6,29.58,0.0,0.0,90601.34,90601.34,polygon
2019-04-18,BULL_100,INACTIVE,290.02,12.09,28.82,0.0,0.0,90601.34,90601.34,polygon
2019-04-22,BULL_100,INACTIVE,290.27,12.42,29.18,0.0,0.0,90601.34,90601.34,polygon
2019-04-23,BULL_100,INACTIVE,292.88,12.28,28.41,0.0,0.0,90601.34,90601.34,polygon
2019-04-24,BULL_100,INACTIVE,292.23,13.14,28.58,0.0,0.0,90601.34,90601.34,polygon
2019-04-25,BULL_100,INACTIVE,292.05,13.25,28.83,0.0,0.0,90601.34,90601.34,polygon
2019-04-26,BULL_100,INACTIVE,293.41,12.73,28.38,0.0,0.0,90601.34,90601.34,polygon
