date,state,spy_close,upro_close,vix,shares_held,cash_held,portfolio_value,upro_allocation_pct,data_source
2012-10-11,BULL_100,143.36,3.718,15.59,28602.0447,1042.99,107385.39,99.0,polygon
2012-10-12,BULL_100,142.89,3.6725,16.14,28602.0447,1042.99,106084.0,99.0,polygon
2012-10-15,BULL_100,144.08,3.7721,15.27,28602.0447,1042.99,108932.76,99.0,polygon
2012-10-16,BULL_100,145.54,3.8842,15.22,28602.0447,1042.99,112139.05,99.1,polygon
2012-10-17,BULL_100,146.2,3.9359,15.07,28602.0447,1042.99,113617.78,99.1,polygon
2012-10-18,BULL_100,145.82,3.9071,15.03,28602.0447,1042.99,112794.04,99.1,polygon
2012-10-19,BULL_100,143.39,3.703,17.06,28602.0447,1042.99,106956.36,99.0,polygon
2012-10-22,BULL_100,143.41,3.7109,16.62,28602.0447,1042.99,107182.32,99.0,polygon
2012-10-23,DEFENSIVE,141.42,3.559,18.83,14446.2329,51784.56,103198.7,49.8,polygon
2012-10-24,DEFENSIVE,141.02,3.5284,18.33,14446.2329,51784.56,102756.65,49.6,polygon
2012-10-25,DEFENSIVE,141.43,3.558,18.12,14446.2329,51784.56,103184.25,49.8,polygon
2012-10-26,DEFENSIVE,141.35,3.5509,17.81,14446.2329,51784.56,103081.69,49.8,polygon
2012-10-31,DEFENSIVE,141.35,3.5413,18.6,14446.2329,51784.56,102943.0,49.7,polygon
2012-11-01,DEFENSIVE,142.83,3.6625,16.69,14446.2329,51784.56,104693.89,50.5,polygon
2012-11-02,DEFENSIVE,141.56,3.5588,17.59,14446.2329,51784.56,103195.81,49.8,polygon
2012-11-05,DEFENSIVE,141.85,3.585,18.42,14446.2329,51784.56,103574.3,50.0,polygon
2012-11-06,DEFENSIVE,142.96,3.6642,17.58,14446.2329,51784.56,104718.44,50.5,polygon
2012-11-07,DEFENSIVE,139.72,3.4196,19.08,14446.2329,51784.56,101184.9,48.8,polygon
2012-11-08,DEFENSIVE,138.04,3.2913,18.49,14446.2329,51784.56,99331.44,47.9,polygon
2012-11-09,CASH,138.16,3.298,18.61,0.0,98803.69,98803.69,0.0,polygon
2012-11-12,CASH,138.26,3.3105,16.68,0.0,98803.69,98803.69,0.0,polygon
2012-11-13,CASH,137.79,3.28,16.65,0.0,98803.69,98803.69,0.0,polygon
2012-11-14,CASH,135.93,3.1463,17.92,0.0,98803.69,98803.69,0.0,polygon
2012-11-15,CASH,135.7,3.1279,17.99,0.0,98803.69,98803.69,0.0,polygon
2012-11-16,CASH,136.37,3.173,16.41,0.0,98803.69,98803.69,0.0,polygon
2012-11-19,CASH,139.13,3.3609,15.24,0.0,98803.69,98803.69,0.0,polygon
2012-11-20,SMA_RECOVERY,139.19,3.3763,15.08,22109.0088,24553.32,99199.97,75.2,polygon
