date,state,spy_close,upro_close,vix,shares_held,cash_held,portfolio_value,upro_allocation_pct,data_source
2012-04-09,BULL_100,138.22,3.3525,18.81,31226.91,927.28,105615.49,99.1,polygon
2012-04-10,BULL_100,135.9,3.1805,20.39,31226.91,927.28,100244.47,99.1,polygon
2012-04-11,BULL_100,137.0,3.2475,20.02,31226.91,927.28,102336.67,99.1,polygon
2012-04-12,DEFENSIVE,138.79,3.3888,17.2,15755.4361,51346.76,104738.78,51.0,polygon
2012-04-13,DEFENSIVE,137.14,3.2596,19.55,15755.4361,51346.76,102703.17,50.0,polygon
2012-04-16,DEFENSIVE,137.05,3.2505,19.55,15755.4361,51346.76,102559.8,49.9,polygon
2012-04-17,DEFENSIVE,139.08,3.3971,18.46,15755.4361,51346.76,104869.55,51.0,polygon
2012-04-18,DEFENSIVE,138.61,3.365,18.64,15755.4361,51346.76,104363.8,50.8,polygon
2012-04-19,BULL_100,137.72,3.3025,18.36,30683.734,944.57,102277.6,99.1,polygon
2012-04-20,BULL_100,137.95,3.3163,17.44,30683.734,944.57,102701.04,99.1,polygon
2012-04-23,DEFENSIVE,136.79,3.2355,18.97,15488.7677,49695.99,99809.9,50.2,polygon
2012-04-24,DEFENSIVE,137.31,3.2729,18.1,15488.7677,49695.99,100389.18,50.5,polygon
2012-04-25,DEFENSIVE,139.19,3.4084,16.82,15488.7677,49695.99,102487.91,51.5,polygon
2012-04-26,DEFENSIVE,140.16,3.4759,16.24,15488.7677,49695.99,103533.4,52.0,polygon
2012-04-27,BULL_100,140.39,3.4917,16.32,29358.6897,946.63,103458.36,99.1,polygon
2012-04-30,BULL_100,139.87,3.4488,17.15,29358.6897,946.63,102198.88,99.1,polygon
2012-05-01,BULL_100,140.74,3.5138,16.6,29358.6897,946.63,104107.19,99.1,polygon
2012-05-02,BULL_100,140.32,3.4863,16.88,29358.6897,946.63,103299.83,99.1,polygon
2012-05-03,BULL_100,139.25,3.4096,17.56,29358.6897,946.63,101048.02,99.1,polygon
2012-05-04,BULL_100,137.02,3.2417,19.16,29358.6897,946.63,96118.69,99.0,polygon
2012-05-07,BULL_100,137.1,3.2463,18.94,29358.6897,946.63,96253.74,99.0,polygon
2012-05-08,DEFENSIVE,136.55,3.2075,19.05,14827.6587,47223.66,94783.38,50.2,polygon
2012-05-09,DEFENSIVE,135.74,3.1479,20.08,14827.6587,47223.66,93899.65,49.7,polygon
2012-05-10,DEFENSIVE,136.02,3.1684,18.83,14827.6587,47223.66,94203.61,49.9,polygon
2012-05-11,DEFENSIVE,135.61,3.1392,19.89,14827.6587,47223.66,93770.65,49.6,polygon
2012-05-14,DEFENSIVE,134.11,3.0363,21.87,14827.6587,47223.66,92244.88,48.8,polygon
2012-05-15,DEFENSIVE,133.34,2.985,21.97,14827.6587,47223.66,91484.22,48.4,polygon
2012-05-16,DEFENSIVE,132.83,2.9505,22.27,14827.6587,47223.66,90972.67,48.1,polygon
