datetime,open,high,low,close,volume,source
2023-04-11,409.9599999999999,411.1799999999999,408.93000000000006,409.8999999999999,8444102.0,databento
2023-04-12,409.8999999999999,413.74999999999994,407.1700000000001,407.19999999999993,13583398.0,databento
2023-04-13,408.96,413.835,408.0299999999999,413.1000000000001,11543775.0,databento
2023-04-14,413.2699999999999,415.085,410.065,413.13000000000005,12263764.0,databento
2023-04-17,413.44,414.2799999999999,411.085,413.86,9686352.0,databento
2023-04-18,414.19999999999993,416.06,412.79,413.87999999999994,9857987.0,databento
2023-04-19,413.0299999999999,415.07,411.48,412.94,9339280.0,databento
2023-04-20,411.5299999999999,413.69999999999993,410.27,411.66,10178172.0,databento
2023-04-21,411.48,412.6799999999999,410.18,412.03,9460089.0,databento
2023-04-24,410.73,413.06499999999994,410.55,412.26,8908654.0,databento
2023-04-25,410.63,411.15,405.96,407.92,13842974.0,databento
2023-04-26,407.46,407.98,403.7799999999999,405.4,12595544.0,databento
2023-04-27,406.61999999999995,413.57,406.01,411.85,14074345.0,databento
2023-04-28,411.31000000000006,416.31000000000006,410.22,416.1799999999999,12318080.0,databento
2023-05-01,416.1499999999999,417.61,414.8,415.00999999999993,9437262.0,databento
2023-05-02,415.37999999999994,415.39,407.81999999999994,410.99000000000007,15137862.0,databento
2023-05-03,411.39,413.87,405.00999999999993,406.5899999999999,16405847.0,databento
2023-05-04,408.7799999999999,408.7799999999999,403.74,406.33,13859014.0,databento
2023-05-05,406.54,413.72,406.26,412.24999999999994,12288292.0,databento
2023-05-08,412.6700000000001,413.6000000000001,411.29,412.51,8172044.0,databento
2023-05-09,411.9899999999999,412.18,410.69,411.35,6810872.0,databento
2023-05-10,410.0,414.9100000000001,408.87,413.34,15062584.0,databento
2023-05-11,414.29,414.5400000000001,409.9700000000001,412.43000000000006,9834372.0,databento
2023-05-12,413.22,414.25000000000006,409.075,410.8399999999999,9066314.0,databento
2023-05-15,413.22,413.5,410.23,412.56,8229476.0,databento
2023-05-16,412.8399999999999,412.88999999999993,409.98,410.80999999999995,8360455.0,databento
2023-05-17,410.75999999999993,415.86,410.63499999999993,414.96,11503661.0,databento
2023-05-18,415.73,420.6499999999999,414.32,419.89,14319069.0,databento
2023-05-19,419.83,420.86,417.3500000000001,418.6000000000001,12247686.0,databento
2023-05-22,418.48,420.39,417.3500000000001,419.94,9617806.0,databento
2023-05-23,418.49,418.7900000000001,413.68,414.7300000000001,12634930.0,databento
2023-05-24,413.0799999999999,414.4,409.87999999999994,412.9,12249368.0,databento
2023-05-25,412.6700000000001,416.16,412.42,413.87999999999994,13706925.0,databento
2023-05-26,413.7999999999999,421.0,413.7999999999999,420.6,12523482.0,databento
2023-05-30,421.55999999999995,422.99000000000007,418.74000000000007,420.2900000000001,10330411.0,databento
2023-05-31,419.25999999999993,419.8,416.2300000000001,418.4200000000001,14905841.0,databento
2023-06-01,418.58,422.9100000000001,416.7900000000001,422.00000000000006,13294684.0,databento
2023-06-02,423.18999999999994,428.7300000000001,422.37999999999994,428.0199999999999,12928885.0,databento
2023-06-05,428.03,429.61999999999995,426.36999999999995,426.64,9179575.0,databento
2023-06-06,427.36,428.57499999999993,425.99500000000006,428.48,8672888.0,databento
2023-06-07,427.55,429.61000000000007,426.11999999999995,426.62,11241557.0,databento
2023-06-08,426.5299999999999,429.6,425.82,428.81999999999994,10021177.0,databento
2023-06-09,428.3999999999999,431.99000000000007,428.1700000000001,429.9,12062026.0,databento
2023-06-12,431.38,434.15,430.18000000000006,433.7999999999999,11049039.0,databento
2023-06-13,434.75000000000006,437.33,433.14,436.77,13341712.0,databento
2023-06-14,437.55999999999995,439.05999999999995,433.59,437.26,12917520.0,databento
2023-06-15,436.99000000000007,443.89,434.93999999999994,441.88,13897922.0,databento
2023-06-16,440.55999999999995,443.17,438.9700000000001,439.5,11138982.0,databento
2023-06-20,438.68999999999994,438.7099999999999,435.0400000000001,437.4200000000001,9889696.0,databento
2023-06-21,437.01,437.63999999999993,434.335,434.99999999999994,10397664.0,databento
2023-06-22,433.83,436.88,433.48,436.6799999999999,8510838.0,databento
2023-06-23,434.53,435.06,432.4800000000001,432.7900000000001,10306850.0,databento
2023-06-26,432.7799999999999,434.61000000000007,431.19,432.24999999999994,10658982.0,databento
2023-06-27,432.4700000000001,436.80999999999995,431.59,435.44999999999993,9146749.0,databento
2023-06-28,435.42,437.4299999999999,434.41,436.94999999999993,10041740.0,databento
2023-06-29,436.30000000000007,438.4,435.5799999999999,438.30000000000007,9540933.0,databento
2023-06-30,438.75999999999993,444.2999999999999,438.7,442.87000000000006,15217655.0,databento
2023-07-03,443.61,444.09,442.63,443.86999999999995,4592504.0,databento
2023-07-05,443.1799999999999,443.88,441.4800000000001,442.8299999999999,7052446.0,databento
2023-07-06,441.47,441.75000000000006,437.05999999999995,439.4899999999999,11675676.0,databento
2023-07-07,438.9700000000001,442.63999999999993,438.29,438.65,12291623.0,databento
2023-07-10,437.09,439.9,437.0400000000001,439.6799999999999,7206367.0,databento
2023-07-11,439.64,442.97,439.13999999999993,442.4200000000001,8982178.0,databento
2023-07-12,443.11000000000007,447.47,443.06000000000006,446.4,12401889.0,databento
2023-07-13,447.33,450.37499999999994,447.09,449.36999999999995,9530129.0,databento
2023-07-14,449.4299999999999,451.36,448.4899999999999,449.13999999999993,8408098.0,databento
2023-07-17,449.22,451.93000000000006,448.24999999999994,450.29,7094340.0,databento
2023-07-18,450.79,454.86,450.0,454.0499999999999,11258709.0,databento
2023-07-19,454.09,456.4299999999999,453.69,453.99999999999994,8980925.0,databento
2023-07-20,454.74999999999994,455.0899999999999,451.45,452.25,9595457.0,databento
2023-07-21,453.00000000000006,454.74000000000007,451.87,451.95,8975111.0,databento
2023-07-24,453.05999999999995,455.03,452.72,454.31000000000006,6717946.0,databento
2023-07-25,454.49,456.73,453.8399999999999,455.32,6724120.0,databento
2023-07-26,455.78,456.9800000000001,453.37999999999994,455.6,10250363.0,databento
2023-07-27,457.81000000000006,459.55000000000007,451.56000000000006,452.7399999999999,11826476.0,databento
2023-07-28,454.2300000000001,457.7699999999999,453.69,457.08,11272514.0,databento
2023-07-31,456.63,458.16,456.05000000000007,457.81000000000006,7901097.0,databento
2023-08-01,457.23,457.25000000000006,453.6499999999999,454.9800000000001,7127828.0,databento
2023-08-02,452.72,454.7699999999999,449.35,450.85,12536990.0,databento
2023-08-03,448.06000000000006,451.13,447.36999999999995,449.87,8836616.0,databento
2023-08-04,451.04,452.89,446.2699999999999,446.88999999999993,14107822.0,databento
2023-08-07,449.02,451.07,447.44,450.72,8623333.0,databento
2023-08-08,449.82,449.87,445.2799999999999,448.6499999999999,9612983.0,databento
2023-08-09,450.0199999999999,450.62999999999994,444.97,446.80000000000007,12027427.0,databento
2023-08-10,448.45,451.69999999999993,444.71,446.43999999999994,14201154.0,databento
2023-08-11,446.24999999999994,446.69999999999993,443.36,445.81999999999994,11282657.0,databento
2023-08-14,447.15,448.79,444.37999999999994,448.51,8225681.0,databento
2023-08-15,446.0299999999999,446.64,442.31000000000006,443.1499999999999,11071309.0,databento
2023-08-16,443.75,444.34,439.39,439.54,11391400.0,databento
2023-08-17,440.2,441.51,435.55000000000007,436.06999999999994,11962169.0,databento
2023-08-18,435.87000000000006,437.565,433.01,436.1600000000001,13726912.0,databento
2023-08-21,437.74000000000007,440.11,435.31999999999994,438.65,10441425.0,databento
2023-08-22,440.63000000000005,442.06,437.57,438.19,10403678.0,databento
2023-08-23,439.87,445.79,438.19999999999993,445.09,10481440.0,databento
2023-08-24,445.7999999999999,446.32,436.2900000000001,437.18999999999994,17131716.0,databento
2023-08-25,437.52,441.2900000000001,434.99999999999994,439.6499999999999,16484726.0,databento
2023-08-28,440.31999999999994,443.4,440.2099999999999,442.8299999999999,10614947.0,databento
2023-08-29,442.68,449.61999999999995,441.94999999999993,449.44999999999993,13405265.0,databento
2023-08-30,449.29,451.67,448.2900000000001,451.0799999999999,11706424.0,databento
2023-08-31,451.92,452.98,450.1700000000001,450.65,11190099.0,databento
2023-09-01,451.58,453.6700000000001,449.68,450.9200000000001,10075137.0,databento
2023-09-05,449.5899999999999,451.05999999999995,448.9,449.17,9494722.0,databento
2023-09-06,447.9800000000001,448.6499999999999,443.81000000000006,446.1000000000001,13140408.0,databento
2023-09-07,445.48,445.7,442.74999999999994,445.0499999999999,13249195.0,databento
2023-09-08,445.62,447.11,443.78,445.11000000000007,9703975.0,databento
2023-09-11,447.47,448.77,446.47,448.05,10578661.0,databento
2023-09-12,447.49999999999994,448.53,445.395,446.00999999999993,11651362.0,databento
2023-09-13,445.99,447.7,444.2,446.99999999999994,11940686.0,databento
2023-09-14,447.5799999999999,451.07,447.2099999999999,450.6700000000001,13121452.0,databento
2023-09-15,449.39,449.5899999999999,442.9200000000001,443.29,17140620.0,databento
2023-09-18,444.09,444.9599999999999,442.35,443.88,9708630.0,databento
2023-09-19,444.1000000000001,444.55999999999995,439.93999999999994,442.86,11753581.0,databento
2023-09-20,442.74999999999994,444.45,437.87,437.87,14068627.0,databento
2023-09-21,437.74000000000007,437.87999999999994,430.7999999999999,431.11000000000007,17911685.0,databento
2023-09-22,431.83,434.0899999999999,429.99000000000007,430.65,18139027.0,databento
2023-09-25,431.88,432.63999999999993,428.25,432.12,12019259.0,databento
2023-09-26,429.86999999999995,431.03,425.02,426.5499999999999,16821047.0,databento
2023-09-27,427.99999999999994,428.1,422.2900000000001,426.66,17153456.0,databento
2023-09-28,426.2799999999999,430.2399999999999,424.86999999999995,428.67,14941096.0,databento
2023-09-29,430.26,431.99999999999994,425.91,427.45,19874097.0,databento
2023-10-02,429.7799999999999,430.18000000000006,424.46,427.37999999999994,16167253.0,databento
2023-10-03,427.4599999999999,428.48,420.18999999999994,421.5799999999999,18671762.0,databento
2023-10-04,420.44,425.4299999999999,420.1000000000001,424.14,17255591.0,databento
2023-10-05,424.06000000000006,425.45,421.1799999999999,423.9200000000001,12258490.0,databento
2023-10-06,424.78,431.11999999999995,419.7300000000001,430.2,21501745.0,databento
2023-10-09,426.11999999999995,432.88000000000005,425.91,432.26,12685082.0,databento
2023-10-10,432.61000000000007,437.2099999999999,432.02,434.61999999999995,14682640.0,databento
2023-10-11,434.73,437.36000000000007,433.1799999999999,437.36000000000007,11568464.0,databento
2023-10-12,437.6000000000001,438.6,431.24,433.94,14427179.0,databento
2023-10-13,434.61000000000007,436.45,429.88,430.50999999999993,15473919.0,databento
2023-10-16,431.94999999999993,437.13999999999993,431.30000000000007,436.08,13268362.0,databento
2023-10-17,435.9700000000001,438.14,432.45,435.0499999999999,14630927.0,databento
2023-10-18,435.1799999999999,435.6000000000001,429.0899999999999,430.3999999999999,17573396.0,databento
2023-10-19,428.9299999999999,432.82,425.31999999999994,425.7900000000001,25604988.0,databento
2023-10-20,425.6000000000001,426.7300000000001,420.6,420.80000000000007,20509702.0,databento
2023-10-23,420.41,424.43999999999994,417.80000000000007,421.7999999999999,16657839.0,databento
2023-10-24,421.91,425.49,420.74000000000007,423.3,13172478.0,databento
2023-10-25,421.94,422.93999999999994,415.31,415.7200000000001,15764672.0,databento
2023-10-26,415.21,417.325,411.63,414.86000000000007,20957883.0,databento
2023-10-27,414.57,415.36,409.2099999999999,410.37999999999994,18990020.0,databento
2023-10-30,413.15,416.68000000000006,412.22,415.15,14560656.0,databento
2023-10-31,414.7300000000001,418.50000000000006,414.21,417.3500000000001,13155663.0,databento
2023-11-01,417.41,423.8299999999999,416.25,423.6000000000001,17333637.0,databento
2023-11-02,423.95,431.00999999999993,423.78,429.88999999999993,15014530.0,databento
2023-11-03,430.14,436.30000000000007,429.8500000000001,435.27,14751641.0,databento
2023-11-06,435.44,436.14,433.6749999999999,434.88,11517908.0,databento
2023-11-07,434.99999999999994,437.585,433.94,436.75999999999993,11070269.0,databento
2023-11-08,436.69,438.09,434.87,436.61,9728970.0,databento
2023-11-09,437.49,438.81000000000006,433.4,433.62999999999994,12823070.0,databento
2023-11-10,434.43999999999994,441.0899999999999,433.30999999999995,439.96,13062439.0,databento
2023-11-13,439.56999999999994,441.32,438.42,440.38,7069787.0,databento
2023-11-14,440.87999999999994,450.0549999999999,439.92,449.35,14488350.0,databento
2023-11-15,450.57,451.76,448.80999999999995,449.36000000000007,11761796.0,databento
2023-11-16,449.6000000000001,450.8399999999999,448.11999999999995,450.38,11569758.0,databento
2023-11-17,451.24000000000007,451.93999999999994,449.2999999999999,450.25000000000006,9266426.0,databento
2023-11-20,450.51,455.12500000000006,450.43,454.4100000000001,10507972.0,databento
2023-11-21,454.0499999999999,454.2,451.9,452.7300000000001,8524256.0,databento
2023-11-22,453.43999999999994,456.37999999999994,453.3299999999999,454.71,9619409.0,databento
2023-11-24,455.24999999999994,455.78,454.7300000000001,455.38999999999993,3547353.0,databento
